EIA_ID,plant,state,gauge_id,gauge_source,data_type,data_type_id,timestep,units,notes,update_flag
3035,Prospect 4,OR,14330000;60;3,USGS,outflow-total,,D,cfs,NA,1
3036,Slide Creek,OR,14316500-14316495;60;3,USGS,outflow-total,,D,cfs,below Soda Springs,1
3037,Soda Springs,OR,14316500-14316495;60;3,USGS,outflow-total,,D,cfs,3km downstream; remove Boulder Creek inflow,1
3040,Toketee,OR,14316500-14316495;60;3,USGS,outflow-total,,D,cfs,below Soda Springs,1
3041,Wallowa Falls,OR,13325000;60;3,USGS,outflow-total,,D,cfs,NA,1
3042,West Side,OR,11507500;60;3,USGS,outflow-total,,D,cfs,gauge upstream of diversion return,1
3045,Faraday,OR,14210000;60;3,USGS,outflow-total,,D,cfs,below River Mill,1
3047,North Fork,OR,14210000;60;3,USGS,outflow-total,,D,cfs,below River Mill,1
3048,Pelton,OR,14092500;60;3,USGS,outflow-total,,D,cfs,NA,1
3049,River Mill,OR,14210000;60;3,USGS,outflow-total,,D,cfs,NA,1
3050,Round Butte,OR,14092500;60;3,USGS,outflow-total,,D,cfs,below Reregulating,1
3053,Sullivan,OR,14197900;60;3,USGS,outflow-total,,D,cfs,36km upstream,1
3067,Carmen Smith,OR,14158850;60;3,USGS,outflow-total,,D,cfs,below Trail Bridge reservoir; includes McKenzie River effects,1
3068,Leaburg,OR,14162500;60;3,USGS,outflow-total,,D,cfs,upstream of diversion,1
3071,Walterville,OR,14162500;60;3,USGS,outflow-total,,D,cfs,upstream of diversion,1
3081,Hills Creek,OR,14145500;60;3,USGS,outflow-total,,D,cfs,NA,1
3634,Gunlock,UT,9409880;60;3,USGS,outflow-total,,D,cfs,includes Santa Clara River flows,1
3635,Veyo,UT,9409880;60;3,USGS,outflow-total,,D,cfs,below Gunlock return,1
3636,Sand Cove,UT,9409880;60;3,USGS,outflow-total,,D,cfs,above Gunlock; includes Santa Clara River flows,1
3643,Upper Beaver,UT,10234500;60;3,USGS,outflow-total,,D,cfs,below Lower Beaver,1
3661,Weber,UT,10136500;60;3,USGS,outflow-total,,D,cfs,upstream of pp,1
3664,Beaver Mid Hydro 2,UT,10234500;60;3,USGS,outflow-total,,D,cfs,below Lower Beaver,1
3674,Hyrum,UT,10113500;60;3,USGS,outflow-total,,D,cfs,NA,1
3675,Hydro III,UT,10109000;60;3,USGS,outflow-total,,D,cfs,below Hydro II,1
3676,Manti Canyon Upper,UT,10215900;60;3,USGS,outflow-total,,D,cfs,may not be representative as source water is springs and water system,1
